contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
BillyJack,NFL,185-136-7,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -2.5,BUF,-2.5,+500
BillyJack,NFL,185-136-7,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 44.0,Over,44.0,+500
Kansas2014,NFL,186-140-2,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -6.0,BUF,-6.0,+500
Kansas2014,NFL,186-140-2,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 43.5,Over,43.5,+500
Manning2008SB,NFL,182-141-2,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),HOU +5.5,HOU,+5.5,+500
Manning2008SB,NFL,182-141-2,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 43.5,Over,43.5,+500
bmonte13,NFL,167-127-7,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -2.5,BUF,-2.5,+500
bmonte13,NFL,167-127-7,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 43.5,Over,43.5,+500
bigsmoke21169,NFL,163-125-4,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -2.5,BUF,-2.5,+500
bigsmoke21169,NFL,163-125-4,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 44.0,Over,44.0,+500
quocanh1998,NFL,157-120-7,Buffalo @ Houston,Buffalo,Houston,Total (Under),Under 43.5,Under,43.5,+500
mafioso,NFL,124-90-6,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 43.5,Over,43.5,+500
alayne089,NFL,108-76-1,Buffalo @ Houston,Buffalo,Houston,Total (Under),Under 44.0,Under,44.0,+500
Raptors123,NFL,131-99-4,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -2.5,BUF,-2.5,+500
Bigblue78,NFL,62-37-2,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -2.5,BUF,-2.5,+500
simoncald,NFL,176-141-5,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -5.5,BUF,-5.5,+500
simoncald,NFL,176-141-5,Buffalo @ Houston,Buffalo,Houston,Total (Under),Under 44.0,Under,44.0,+500
TIMPATRICK,NFL,101-73-5,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -6.0,BUF,-6.0,+500
JL023,NFL,130-100-3,Buffalo @ Houston,Buffalo,Houston,Total (Under),Under 44.0,Under,44.0,+500
1GRIFFEYFAN24,NFL,146-115-4,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -2.5,BUF,-2.5,+500
racerz4,NFL,128-99-3,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 43.5,Over,43.5,+500
QDMC,NFL,101-76-3,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -5.5,BUF,-5.5,+500
dr tony,NFL,74-51-3,Jacksonville @ Arizona,Jacksonville,Arizona,Spread (ATS),ARI -1.0,ARI,-1.0,+500
dr tony,NFL,74-51-3,Philadelphia @ Dallas,Philadelphia,Dallas,Spread (ATS),PHI -3.5,PHI,-3.5,+500
london79,NFL,154-124-5,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),HOU +2.5,HOU,+2.5,+500
london79,NFL,154-124-5,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 44.0,Over,44.0,+500
JAL25,NFL,108-83-1,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -4.5,BUF,-4.5,+500
JAL25,NFL,108-83-1,Buffalo @ Houston,Buffalo,Houston,Total (Under),Under 44.0,Under,44.0,+500
Busch Light,NFL,174-143-9,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -3.0,BUF,-3.0,+500
Busch Light,NFL,174-143-9,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 44.5,Over,44.5,+500
Layne17,NFL,120-94-1,Buffalo @ Houston,Buffalo,Houston,Spread (ATS),BUF -4.5,BUF,-4.5,+500
Layne17,NFL,120-94-1,Buffalo @ Houston,Buffalo,Houston,Total (Over),Over 43.5,Over,43.5,+500
Franciswarns,NBA,229-164-6,Houston @ Cleveland,Houston,Cleveland,Spread (ATS),HOU -1.0,HOU,-1.0,+500
Franciswarns,NBA,229-164-6,Houston @ Cleveland,Houston,Cleveland,Total (Over),Over 232.5,Over,232.5,+500
Franciswarns,NBA,229-164-6,Toronto @ Philadelphia,Toronto,Philadelphia,Total (Under),Under 236.5,Under,236.5,+500
Franciswarns,NBA,229-164-6,Charlotte @ Indiana,Charlotte,Indiana,Spread (ATS),IND +1.5,IND,+1.5,+500
Franciswarns,NBA,229-164-6,Charlotte @ Indiana,Charlotte,Indiana,Total (Under),Under 235.5,Under,235.5,+500
Franciswarns,NBA,229-164-6,Golden State @ Miami,Golden State,Miami,Total (Over),Over 233.5,Over,233.5,+500
Franciswarns,NBA,229-164-6,Denver @ New Orleans,Denver,New Orleans,Spread (ATS),DEN -13.5,DEN,-13.5,+500
Franciswarns,NBA,229-164-6,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Spread (ATS),SAC +18.5,SAC,+18.5,+500
Franciswarns,NBA,229-164-6,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Total (Over),Over 232.5,Over,232.5,+500
Franciswarns,NBA,229-164-6,New York @ Dallas,New York,Dallas,Spread (ATS),NY -4.5,NY,-4.5,+500
Franciswarns,NBA,229-164-6,New York @ Dallas,New York,Dallas,Total (Over),Over 226.5,Over,226.5,+500
moneyformo,NBA,239-178-9,Houston @ Cleveland,Houston,Cleveland,Spread (ATS),HOU -1.5,HOU,-1.5,+500
moneyformo,NBA,239-178-9,Houston @ Cleveland,Houston,Cleveland,Total (Over),Over 233.0,Over,233.0,+500
moneyformo,NBA,239-178-9,Charlotte @ Indiana,Charlotte,Indiana,Spread (ATS),IND +1.5,IND,+1.5,+500
moneyformo,NBA,239-178-9,Charlotte @ Indiana,Charlotte,Indiana,Total (Under),Under 236.5,Under,236.5,+500
moneyformo,NBA,239-178-9,Toronto @ Philadelphia,Toronto,Philadelphia,Total (Under),Under 234.0,Under,234.0,+500
moneyformo,NBA,239-178-9,Denver @ New Orleans,Denver,New Orleans,Spread (ATS),DEN -14.5,DEN,-14.5,+500
moneyformo,NBA,239-178-9,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Spread (ATS),SAC +18.5,SAC,+18.5,+500
moneyformo,NBA,239-178-9,New York @ Dallas,New York,Dallas,Spread (ATS),NY -5.5,NY,-5.5,+500
moneyformo,NBA,239-178-9,New York @ Dallas,New York,Dallas,Total (Over),Over 228.5,Over,228.5,+500
sprality777,NBA,240-180-6,Charlotte @ Indiana,Charlotte,Indiana,Spread (ATS),IND +1.5,IND,+1.5,+500
sprality777,NBA,240-180-6,Charlotte @ Indiana,Charlotte,Indiana,Total (Under),Under 236.5,Under,236.5,+500
sprality777,NBA,240-180-6,Toronto @ Philadelphia,Toronto,Philadelphia,Spread (ATS),PHI +1.0,PHI,+1.0,+500
sprality777,NBA,240-180-6,Toronto @ Philadelphia,Toronto,Philadelphia,Total (Over),Over 234.0,Over,234.0,+500
sprality777,NBA,240-180-6,Houston @ Cleveland,Houston,Cleveland,Spread (ATS),HOU -1.5,HOU,-1.5,+500
sprality777,NBA,240-180-6,Houston @ Cleveland,Houston,Cleveland,Total (Over),Over 234.0,Over,234.0,+500
sprality777,NBA,240-180-6,Golden State @ Miami,Golden State,Miami,Spread (ATS),GS +6.5,GS,+6.5,+500
sprality777,NBA,240-180-6,Golden State @ Miami,Golden State,Miami,Total (Over),Over 232.5,Over,232.5,+500
sprality777,NBA,240-180-6,Washington @ Minnesota,Washington,Minnesota,Spread (ATS),WAS +16.0,WAS,+16.0,+500
sprality777,NBA,240-180-6,Washington @ Minnesota,Washington,Minnesota,Total (Under),Under 237.5,Under,237.5,+500
sprality777,NBA,240-180-6,Denver @ New Orleans,Denver,New Orleans,Spread (ATS),DEN -14.5,DEN,-14.5,+500
sprality777,NBA,240-180-6,Denver @ New Orleans,Denver,New Orleans,Total (Under),Under 233.0,Under,233.0,+500
sprality777,NBA,240-180-6,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Spread (ATS),SAC +18.5,SAC,+18.5,+500
sprality777,NBA,240-180-6,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Total (Over),Over 233.0,Over,233.0,+500
sprality777,NBA,240-180-6,New York @ Dallas,New York,Dallas,Spread (ATS),DAL +5.5,DAL,+5.5,+500
sprality777,NBA,240-180-6,New York @ Dallas,New York,Dallas,Total (Over),Over 228.5,Over,228.5,+500
sprality777,NBA,240-180-6,Chicago @ Portland,Chicago,Portland,Spread (ATS),CHI -2.5,CHI,-2.5,+500
sprality777,NBA,240-180-6,Chicago @ Portland,Chicago,Portland,Total (Under),Under 243.5,Under,243.5,+500
JFT1010,NBA,230-175-8,Toronto @ Philadelphia,Toronto,Philadelphia,Spread (ATS),TOR +1.0,TOR,+1.0,+500
JFT1010,NBA,230-175-8,Toronto @ Philadelphia,Toronto,Philadelphia,Total (Under),Under 236.5,Under,236.5,+500
JFT1010,NBA,230-175-8,Charlotte @ Indiana,Charlotte,Indiana,Spread (ATS),IND +1.5,IND,+1.5,+500
JFT1010,NBA,230-175-8,Charlotte @ Indiana,Charlotte,Indiana,Total (Under),Under 235.5,Under,235.5,+500
JFT1010,NBA,230-175-8,Houston @ Cleveland,Houston,Cleveland,Spread (ATS),HOU -1.0,HOU,-1.0,+500
JFT1010,NBA,230-175-8,Houston @ Cleveland,Houston,Cleveland,Total (Over),Over 232.5,Over,232.5,+500
JFT1010,NBA,230-175-8,Washington @ Minnesota,Washington,Minnesota,Spread (ATS),WAS +15.5,WAS,+15.5,+500
JFT1010,NBA,230-175-8,Washington @ Minnesota,Washington,Minnesota,Total (Over),Over 237.5,Over,237.5,+500
JFT1010,NBA,230-175-8,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Spread (ATS),SAC +18.5,SAC,+18.5,+500
JFT1010,NBA,230-175-8,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Total (Under),Under 232.5,Under,232.5,+500
JFT1010,NBA,230-175-8,Denver @ New Orleans,Denver,New Orleans,Spread (ATS),DEN -13.5,DEN,-13.5,+500
JFT1010,NBA,230-175-8,Denver @ New Orleans,Denver,New Orleans,Total (Over),Over 233.5,Over,233.5,+500
JFT1010,NBA,230-175-8,New York @ Dallas,New York,Dallas,Spread (ATS),NY -4.5,NY,-4.5,+500
JFT1010,NBA,230-175-8,New York @ Dallas,New York,Dallas,Total (Under),Under 226.5,Under,226.5,+500
plastikman200,NBA,155-109-4,Golden State @ Miami,Golden State,Miami,Total (Over),Over 233.5,Over,233.5,+500
plastikman200,NBA,155-109-4,Sacramento @ Oklahoma City,Sacramento,Oklahoma City,Spread (ATS),OKC -18.5,OKC,-18.5,+500
UncleHow,NBA,136-96-4,Houston @ Cleveland,Houston,Cleveland,Spread (ATS),CLE +1.5,CLE,+1.5,+500
UncleHow,NBA,136-96-4,Charlotte @ Indiana,Charlotte,Indiana,Spread (ATS),IND +1.5,IND,+1.5,+500
UncleHow,NBA,136-96-4,Charlotte @ Indiana,Charlotte,Indiana,Total (Under),Under 236.5,Under,236.5,+500
UncleHow,NBA,136-96-4,Toronto @ Philadelphia,Toronto,Philadelphia,Spread (ATS),TOR -1.0,TOR,-1.0,+500
UncleHow,NBA,136-96-4,Golden State @ Miami,Golden State,Miami,Spread (ATS),GS +6.5,GS,+6.5,+500
