contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
BradytheK9,NFL,152-103-6,New England @ Cincinnati,New England,Cincinnati,Total (Under),Under 51.0,Under,51.0,+500
BradytheK9,NFL,152-103-6,Minnesota @ Green Bay,Minnesota,Green Bay,Spread (ATS),MIN +6.5,MIN,+6.5,+500
BradytheK9,NFL,152-103-6,Minnesota @ Green Bay,Minnesota,Green Bay,Total (Over),Over 41.5,Over,41.5,+500
BradytheK9,NFL,152-103-6,Seattle @ Tennessee,Seattle,Tennessee,Spread (ATS),TEN +13.0,TEN,+13.0,+500
BradytheK9,NFL,152-103-6,Seattle @ Tennessee,Seattle,Tennessee,Total (Over),Over 40.0,Over,40.0,+500
BradytheK9,NFL,152-103-6,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Spread (ATS),BAL -13.5,BAL,-13.5,+500
BradytheK9,NFL,152-103-6,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Total (Over),Over 44.5,Over,44.5,+500
BradytheK9,NFL,152-103-6,Pittsburgh @ Chicago,Pittsburgh,Chicago,Total (Over),Over 46.0,Over,46.0,+500
BradytheK9,NFL,152-103-6,Indianapolis @ Kansas City,Indianapolis,Kansas City,Spread (ATS),IND +3.0,IND,+3.0,+500
BradytheK9,NFL,152-103-6,Indianapolis @ Kansas City,Indianapolis,Kansas City,Total (Over),Over 49.5,Over,49.5,+500
BradytheK9,NFL,152-103-6,N.Y. Giants @ Detroit,N.Y. Giants,Detroit,Spread (ATS),DET -13.0,DET,-13.0,+500
BradytheK9,NFL,152-103-6,N.Y. Giants @ Detroit,N.Y. Giants,Detroit,Total (Over),Over 50.5,Over,50.5,+500
BradytheK9,NFL,152-103-6,Cleveland @ Las Vegas,Cleveland,Las Vegas,Total (Over),Over 35.5,Over,35.5,+500
BradytheK9,NFL,152-103-6,Jacksonville @ Arizona,Jacksonville,Arizona,Spread (ATS),ARI +2.5,ARI,+2.5,+500
BradytheK9,NFL,152-103-6,Jacksonville @ Arizona,Jacksonville,Arizona,Total (Over),Over 47.5,Over,47.5,+500
BradytheK9,NFL,152-103-6,Atlanta @ New Orleans,Atlanta,New Orleans,Spread (ATS),ATL +2.0,ATL,+2.0,+500
BradytheK9,NFL,152-103-6,Philadelphia @ Dallas,Philadelphia,Dallas,Spread (ATS),DAL +3.0,DAL,+3.0,+500
BradytheK9,NFL,152-103-6,Tampa Bay @ L.A. Rams,Tampa Bay,L.A. Rams,Spread (ATS),TB +7.0,TB,+7.0,+500
Patzer24,NFL,154-108-5,Seattle @ Tennessee,Seattle,Tennessee,Spread (ATS),TEN +13.0,TEN,+13.0,+500
Patzer24,NFL,154-108-5,Minnesota @ Green Bay,Minnesota,Green Bay,Spread (ATS),MIN +6.5,MIN,+6.5,+500
Patzer24,NFL,154-108-5,Minnesota @ Green Bay,Minnesota,Green Bay,Total (Under),Under 41.5,Under,41.5,+500
Patzer24,NFL,154-108-5,Pittsburgh @ Chicago,Pittsburgh,Chicago,Spread (ATS),CHI -2.5,CHI,-2.5,+500
Patzer24,NFL,154-108-5,Indianapolis @ Kansas City,Indianapolis,Kansas City,Spread (ATS),KC -3.0,KC,-3.0,+500
Patzer24,NFL,154-108-5,Jacksonville @ Arizona,Jacksonville,Arizona,Total (Under),Under 47.5,Under,47.5,+500
Patzer24,NFL,154-108-5,Cleveland @ Las Vegas,Cleveland,Las Vegas,Spread (ATS),CLE +3.5,CLE,+3.5,+500
Patzer24,NFL,154-108-5,Philadelphia @ Dallas,Philadelphia,Dallas,Spread (ATS),DAL +3.0,DAL,+3.0,+500
Patzer24,NFL,154-108-5,Atlanta @ New Orleans,Atlanta,New Orleans,Spread (ATS),ATL +2.0,ATL,+2.0,+500
Patzer24,NFL,154-108-5,Tampa Bay @ L.A. Rams,Tampa Bay,L.A. Rams,Spread (ATS),LA -7.0,LA,-7.0,+500
BillyJack,NFL,185-138-7,Seattle @ Tennessee,Seattle,Tennessee,Spread (ATS),SEA -13.5,SEA,-13.5,+500
BillyJack,NFL,185-138-7,Seattle @ Tennessee,Seattle,Tennessee,Total (Over),Over 40.0,Over,40.0,+500
BillyJack,NFL,185-138-7,New England @ Cincinnati,New England,Cincinnati,Spread (ATS),CIN +7.0,CIN,+7.0,+500
BillyJack,NFL,185-138-7,New England @ Cincinnati,New England,Cincinnati,Total (Under),Under 50.0,Under,50.0,+500
BillyJack,NFL,185-138-7,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Spread (ATS),BAL -13.5,BAL,-13.5,+500
BillyJack,NFL,185-138-7,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Total (Under),Under 44.5,Under,44.5,+500
BillyJack,NFL,185-138-7,Minnesota @ Green Bay,Minnesota,Green Bay,Spread (ATS),MIN +6.5,MIN,+6.5,+500
BillyJack,NFL,185-138-7,Minnesota @ Green Bay,Minnesota,Green Bay,Total (Over),Over 41.0,Over,41.0,+500
BillyJack,NFL,185-138-7,Pittsburgh @ Chicago,Pittsburgh,Chicago,Spread (ATS),PIT +2.5,PIT,+2.5,+500
BillyJack,NFL,185-138-7,Pittsburgh @ Chicago,Pittsburgh,Chicago,Total (Under),Under 45.5,Under,45.5,+500
BillyJack,NFL,185-138-7,Indianapolis @ Kansas City,Indianapolis,Kansas City,Spread (ATS),KC -3.5,KC,-3.5,+500
BillyJack,NFL,185-138-7,Indianapolis @ Kansas City,Indianapolis,Kansas City,Total (Over),Over 50.5,Over,50.5,+500
BillyJack,NFL,185-138-7,N.Y. Giants @ Detroit,N.Y. Giants,Detroit,Spread (ATS),DET -10.0,DET,-10.0,+500
BillyJack,NFL,185-138-7,N.Y. Giants @ Detroit,N.Y. Giants,Detroit,Total (Over),Over 50.0,Over,50.0,+500
BillyJack,NFL,185-138-7,Jacksonville @ Arizona,Jacksonville,Arizona,Spread (ATS),ARI +3.0,ARI,+3.0,+500
BillyJack,NFL,185-138-7,Jacksonville @ Arizona,Jacksonville,Arizona,Total (Under),Under 47.5,Under,47.5,+500
BillyJack,NFL,185-138-7,Cleveland @ Las Vegas,Cleveland,Las Vegas,Spread (ATS),CLE +4.0,CLE,+4.0,+500
BillyJack,NFL,185-138-7,Cleveland @ Las Vegas,Cleveland,Las Vegas,Total (Over),Over 36.0,Over,36.0,+500
BillyJack,NFL,185-138-7,Philadelphia @ Dallas,Philadelphia,Dallas,Spread (ATS),DAL +3.0,DAL,+3.0,+500
BillyJack,NFL,185-138-7,Philadelphia @ Dallas,Philadelphia,Dallas,Total (Under),Under 47.5,Under,47.5,+500
BillyJack,NFL,185-138-7,Atlanta @ New Orleans,Atlanta,New Orleans,Spread (ATS),NO -1.5,NO,-1.5,+500
BillyJack,NFL,185-138-7,Atlanta @ New Orleans,Atlanta,New Orleans,Total (Over),Over 39.5,Over,39.5,+500
BillyJack,NFL,185-138-7,Tampa Bay @ L.A. Rams,Tampa Bay,L.A. Rams,Spread (ATS),TB +6.5,TB,+6.5,+500
BillyJack,NFL,185-138-7,Tampa Bay @ L.A. Rams,Tampa Bay,L.A. Rams,Total (Over),Over 49.5,Over,49.5,+500
Kansas2014,NFL,186-142-2,Indianapolis @ Kansas City,Indianapolis,Kansas City,Spread (ATS),KC -3.0,KC,-3.0,+500
Kansas2014,NFL,186-142-2,Indianapolis @ Kansas City,Indianapolis,Kansas City,Total (Under),Under 50.5,Under,50.5,+500
Kansas2014,NFL,186-142-2,Minnesota @ Green Bay,Minnesota,Green Bay,Spread (ATS),GB -6.5,GB,-6.5,+500
Kansas2014,NFL,186-142-2,Minnesota @ Green Bay,Minnesota,Green Bay,Total (Over),Over 40.5,Over,40.5,+500
Kansas2014,NFL,186-142-2,New England @ Cincinnati,New England,Cincinnati,Spread (ATS),CIN +8.0,CIN,+8.0,+500
Kansas2014,NFL,186-142-2,New England @ Cincinnati,New England,Cincinnati,Total (Under),Under 49.5,Under,49.5,+500
Kansas2014,NFL,186-142-2,Seattle @ Tennessee,Seattle,Tennessee,Spread (ATS),TEN +13.5,TEN,+13.5,+500
Kansas2014,NFL,186-142-2,Seattle @ Tennessee,Seattle,Tennessee,Total (Over),Over 40.0,Over,40.0,+500
Kansas2014,NFL,186-142-2,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Spread (ATS),BAL -13.5,BAL,-13.5,+500
Kansas2014,NFL,186-142-2,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Total (Over),Over 44.5,Over,44.5,+500
Kansas2014,NFL,186-142-2,N.Y. Giants @ Detroit,N.Y. Giants,Detroit,Spread (ATS),DET -10.0,DET,-10.0,+500
Kansas2014,NFL,186-142-2,N.Y. Giants @ Detroit,N.Y. Giants,Detroit,Total (Under),Under 50.0,Under,50.0,+500
Kansas2014,NFL,186-142-2,Pittsburgh @ Chicago,Pittsburgh,Chicago,Spread (ATS),CHI -2.5,CHI,-2.5,+500
Kansas2014,NFL,186-142-2,Pittsburgh @ Chicago,Pittsburgh,Chicago,Total (Under),Under 45.0,Under,45.0,+500
Kansas2014,NFL,186-142-2,Cleveland @ Las Vegas,Cleveland,Las Vegas,Spread (ATS),LV -3.5,LV,-3.5,+500
Kansas2014,NFL,186-142-2,Cleveland @ Las Vegas,Cleveland,Las Vegas,Total (Over),Over 36.0,Over,36.0,+500
Kansas2014,NFL,186-142-2,Jacksonville @ Arizona,Jacksonville,Arizona,Spread (ATS),ARI +2.5,ARI,+2.5,+500
Kansas2014,NFL,186-142-2,Jacksonville @ Arizona,Jacksonville,Arizona,Total (Under),Under 47.5,Under,47.5,+500
Kansas2014,NFL,186-142-2,Philadelphia @ Dallas,Philadelphia,Dallas,Spread (ATS),PHI -3.0,PHI,-3.0,+500
Kansas2014,NFL,186-142-2,Philadelphia @ Dallas,Philadelphia,Dallas,Total (Over),Over 47.5,Over,47.5,+500
Kansas2014,NFL,186-142-2,Atlanta @ New Orleans,Atlanta,New Orleans,Spread (ATS),NO -1.5,NO,-1.5,+500
Kansas2014,NFL,186-142-2,Atlanta @ New Orleans,Atlanta,New Orleans,Total (Over),Over 39.5,Over,39.5,+500
Kansas2014,NFL,186-142-2,Tampa Bay @ L.A. Rams,Tampa Bay,L.A. Rams,Spread (ATS),LA -6.5,LA,-6.5,+500
Kansas2014,NFL,186-142-2,Tampa Bay @ L.A. Rams,Tampa Bay,L.A. Rams,Total (Under),Under 49.5,Under,49.5,+500
Manning2008SB,NFL,183-142-2,Minnesota @ Green Bay,Minnesota,Green Bay,Spread (ATS),GB -6.5,GB,-6.5,+500
Manning2008SB,NFL,183-142-2,Minnesota @ Green Bay,Minnesota,Green Bay,Total (Over),Over 40.5,Over,40.5,+500
Manning2008SB,NFL,183-142-2,New England @ Cincinnati,New England,Cincinnati,Spread (ATS),CIN +8.0,CIN,+8.0,+500
Manning2008SB,NFL,183-142-2,New England @ Cincinnati,New England,Cincinnati,Total (Under),Under 49.5,Under,49.5,+500
Manning2008SB,NFL,183-142-2,Seattle @ Tennessee,Seattle,Tennessee,Spread (ATS),TEN +13.0,TEN,+13.0,+500
Manning2008SB,NFL,183-142-2,Seattle @ Tennessee,Seattle,Tennessee,Total (Under),Under 40.5,Under,40.5,+500
Manning2008SB,NFL,183-142-2,Pittsburgh @ Chicago,Pittsburgh,Chicago,Spread (ATS),CHI -3.0,CHI,-3.0,+500
Manning2008SB,NFL,183-142-2,Pittsburgh @ Chicago,Pittsburgh,Chicago,Total (Under),Under 45.0,Under,45.0,+500
Manning2008SB,NFL,183-142-2,Indianapolis @ Kansas City,Indianapolis,Kansas City,Spread (ATS),IND +3.0,IND,+3.0,+500
Manning2008SB,NFL,183-142-2,Indianapolis @ Kansas City,Indianapolis,Kansas City,Total (Over),Over 50.5,Over,50.5,+500
Manning2008SB,NFL,183-142-2,N.Y. Jets @ Baltimore,N.Y. Jets,Baltimore,Spread (ATS),BAL -13.5,BAL,-13.5,+500
