Count,Sport,Matchup,Pick Type,Pick
27,NBA,Detroit @ Brooklyn,Spread (ATS),BK +10.5
27,College Basketball,SE Missouri St. @ Missouri,Spread (ATS),MIZZ -25.5
27,College Basketball,Wagner @ Seton Hall,Spread (ATS),HALL -23.5
26,College Basketball,Chattanooga @ Saint Mary's,Spread (ATS),SMC -14.5
25,College Basketball,Cornell @ Kent St.,Spread (ATS),KENT -6.0
25,College Basketball,Georgia St. @ Cincinnati,Spread (ATS),CIN -29.5
24,NBA,Charlotte @ Miami,Spread (ATS),MIA -5.0
24,College Basketball,Western Illinois @ Iowa,Spread (ATS),IOWA -29.5
23,College Basketball,SE Louisiana @ UL Lafayette,Spread (ATS),ULL -3.5
23,College Basketball,Charleston @ Liberty,Spread (ATS),LIB -7.5
23,College Basketball,Washington St. @ Davidson,Spread (ATS),DAV -4.0
22,College Basketball,Winthrop @ George Mason,Spread (ATS),GMU -11.5
21,College Basketball,Chattanooga @ Saint Mary's,Total (Over),Over 143.5
21,College Basketball,Georgia St. @ Cincinnati,Total (Over),Over 150.5
20,NBA,Boston @ Orlando,Total (Over),Over 226.5
20,College Basketball,Tennessee Tech @ Charlotte,Spread (ATS),CHAR -12.0
19,College Basketball,Detroit Mercy @ Notre Dame,Spread (ATS),ND -21.5
19,College Basketball,Fort Wayne @ Ohio St.,Spread (ATS),OSU -24.0
18,NBA,Cleveland @ Washington,Spread (ATS),CLE -13.5
18,NHL,Chicago @ Calgary,Total (Over),Over 6.0
18,College Basketball,Tulsa @ Rhode Island,Spread (ATS),URI -3.5
18,College Basketball,SC State @ Samford,Spread (ATS),SAM -14.5
18,College Basketball,VMI @ Southern Indiana,Total (Under),Under 153.5
17,College Basketball,FGCU @ Illinois,Spread (ATS),ILL -28.5
17,College Basketball,NC Central @ Virginia,Spread (ATS),UVA -32.5
17,College Basketball,Detroit Mercy @ Notre Dame,Total (Over),Over 148.0
17,College Basketball,Sam Houston St. @ Texas Tech,Spread (ATS),TTU -27.5
17,College Basketball,Boston U @ Northwestern,Spread (ATS),NW -16.5
17,College Basketball,Alabama St. @ Florida State,Spread (ATS),FSU -25.5
17,CFL,BC @ Saskatchewan,Total (Over),Over 53.5
